CC,CCC,CCCC,CCCC_abs,CCC_abs,CC_abs,CH,CH_abs,HCC,HCCC,HCCC_abs,HCC_abs,HOC,HOCC,HOCC_abs,HOC_abs,OC,OCC,OCCC,OCCC_abs,OCC_abs,OCO,OCOC,OCOC_abs,OCO_abs,OC_abs,OH,OH_abs,sf,sigma,intensity,structure,freq
34.0,-3.0,0.0,0.0,5.0,50.0,0.0,0.0,40.0,0.0,0.0,40.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2552496038782266,72.93103684974693,17.6683,3_hydroxy_benzoic_acid,1079.81127744
35.0,29.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056999385093817,10.519064693353307,5.6805,3_hydroxy_benzoic_acid,991.08312996
0.0,0.0,-6.0,18.0,0.0,0.0,0.0,0.0,0.0,52.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048440876352820926,31.337544593394345,0.0782,3_hydroxy_benzoic_acid,971.820361704
14.0,-5.0,0.0,0.0,15.0,40.0,0.0,0.0,-6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.4569236522917642,32.73483510613941,39.7109,3_hydroxy_benzoic_acid,909.823220376
0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.15420970497111522,14.099058158454968,0.0862,3_hydroxy_benzoic_acid,905.6045958240001
0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,62.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.035326126041840565,52.81848097675328,15.8026,3_hydroxy_benzoic_acid,877.34666292
0.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,-41.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-22.0,22.0,0.0,0.0,0.0,0.0,0.5321922472776939,79.92315755912081,2.9595,3_hydroxy_benzoic_acid,801.6659087759999
0.0,0.0,-3.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.33630475319481434,32.306039743026275,90.2765,3_hydroxy_benzoic_acid,752.559552912
34.0,18.0,0.0,0.0,32.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,16.0,-3.0,0.0,0.0,3.0,11.0,0.0,0.0,11.0,16.0,0.0,0.0,0.1561209358806945,29.45781701535139,36.8265,3_hydroxy_benzoic_acid,725.1335993280001
0.0,0.0,-25.0,63.0,0.0,0.0,0.0,0.0,0.0,-6.0,26.0,0.0,0.0,-4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07368897072277349,16.372856313461664,0.171,3_hydroxy_benzoic_acid,661.756351128
-3.0,10.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,4.0,54.0,0.0,0.0,54.0,8.0,0.0,0.0,0.21936834319335072,53.5316902613012,45.7232,3_hydroxy_benzoic_acid,624.2683417679999
0.0,0.0,-8.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774970012526692,58.894145277105466,95.5667,3_hydroxy_benzoic_acid,597.791823408
-7.0,-2.0,0.0,0.0,40.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-8.0,14.0,0.0,0.0,38.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.010267244647079777,62.51842966411898,0.939,3_hydroxy_benzoic_acid,543.517407768
0.0,0.0,14.0,34.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,-22.0,22.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,-6.0,6.0,0.0,0.0,0.0,0.0,0.21734901744233198,10.921412454998162,9.0762,3_hydroxy_benzoic_acid,514.8679551839999
