structure;description;func_group;experimental;theoretical;sf;method;basis_set;comments;
propane;;carbon/hydrogen;1378;1410;0.9773;DFT B3LYP;6-31+G**;nist all;
propane;;carbon/hydrogen;1338;1367;0.9788;DFT B3LYP;6-31+G**;nist all;
propane;;carbon/hydrogen;1054;1059;0.9953;DFT B3LYP;6-31+G**;nist all;
propane;;carbon/hydrogen;922;932;0.9893;DFT B3LYP;6-31+G**;nist all;
cyclohexanone;;hydrogen;2933;3075;0.9538;DFT B3LYP;6-31+G**;;
cyclohexane;;hydrogen;2863;3007;0.9521;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1465;1514;0.9676;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1157;1182;0.9788;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1383;1372;1.008;DFT B3LYP;6-31+G**;nist all;del
cyclohexane;;carbon/hydrogen;1157;1129;1.0248;DFT B3LYP;6-31+G**;nist all;del
cyclohexane;;carbon/hydrogen;1057;1098;0.9627;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1437;1346;1.0676;DFT B3LYP;6-31+G**;nist all;del
cyclohexane;;carbon/hydrogen;1090;1070;1.0187;DFT B3LYP;6-31+G**;nist all;del
beta-propiolactone;;hydrogen;3000;3151;0.9521;DFT B3LYP;6-31+G**;nist all;
cyclohexanone;;hydrogen;2878;3027;0.9508;DFT B3LYP;6-31+G**;;
cyclohexane;;carbon/hydrogen;1437;1498;0.9593;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1030;1042;0.9885;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;hydrogen;2915;3068;0.9501;DFT B3LYP;6-31+G**;nist all;
cyclohexanone;;hydrogen;2954;3112;0.9492;DFT B3LYP;6-31+G**;;
cyclohexane;;carbon/hydrogen;1443;1486;0.9711;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1347;1380;0.9761;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1266;1290;0.9814;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1027;1035;0.9923;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;hydrogen;2860;3015;0.9486;DFT B3LYP;6-31+G**;nist all;
benzoic_acid;100  OH(14-15);carboxyl_OH;3573.56;3768;0.9484;DFT B3LYP;6-31+G**;;
cyclohexane;;carbon/hydrogen;1457;1493;0.9759;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1355;1384;0.979;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;carbon/hydrogen;1261;1284;0.9821;DFT B3LYP;6-31+G**;nist all;
beta-propiolactone;;hydrogen;2935;3096;0.948;DFT B3LYP;6-31+G**;nist all;
cyclohexane;;hydrogen;2852;3010;0.9475;DFT B3LYP;6-31+G**;nist all;
isobutanol;;carbon;1470;1515;0.9703;DFT B3LYP;6-31+G**;;
isobutanol;;carbon;1374;1406;0.9772;DFT B3LYP;6-31+G**;;
isobutanol;;hydroxide;1214;1234;0.9838;DFT B3LYP;6-31+G**;;
isobutanol;;hydroxide;1142;1153;0.9905;DFT B3LYP;6-31+G**;;
